cb_code,cb_q,cb_af,cb_a1,cb_a2,cb_a3
Q0001,데크(Deque)에 대한 설명으로 옳지 않은 것은?,"입력 제한 데크는 Shelf이고, 출력 제한 테크는 Scroll이다.",삽입과 삭제가 리스트의 양쪽 끝에서 발생할 수 있는 자료 구조이다.,스택과 큐의 장점으로 구성한 것이다.,Double Ended Queue의 약자이다.
Q0002,SQL에서 DELETE 명령에 대한 설명으로 옳지 않은 것은?,WHERE 조건절이 없는 DELETE 명령을 수행하면 DROP TABLE 명령을 수행했을 때와 같은 효과를 얻을 수 있다.,테이블의 행을 삭제할 때 사용한다.,SQL을 사용용도에 따라 분류할 경우 DML에 해당한다.,기본 사용 형식은 “DELETE FROM 테이블 [WHERE 조건]”이다.
Q0003,"DBMS의 필수기능 중 모든 응용 프로그램들이 요구하는 데이터 구조를 지원하기 이해 데이터베이스에 저장될 데이터 타입과 구조에 대한 정의, 이용 방식, 제약조건 등을 명시하는 기능은?",정의 기능,조작 기능,사상 기능,제어 기능
Q0004,데이터베이스의 상태를 변환시키기 위하여 논리적 기능을 수행하는 하나의 작업 단위를 무엇이라하는가?,트랜잭션,프로시저,모듈,도메인
Q0005,조직이나 기업체의 중심이 되는 업무시스템에서 모아진 정보를 일관된 스키마로 저장한 저장소를 의미하는 것은?,Data Warehouse,Data Mining,Classificaition,Clustering
Q0006,정규화 과정 중 BCNF에서 4NF가 되기 위한 조건은?,다치 종속 제거,조인 종속성 이용,이행적 함수 종속 제거,결정자이면서 후보키가 아닌 함수 종속 제거
Q0007,Which of the following is not a property of the transaction to ensure integrity of the data?,autonomy,isolation,durability,consistency
Q0008,속성(attribute)에 대한 설명으로 틀린 것은?,"속성의 수를 “cardinality"" 라고 한다.",속성은 개체의 특성을 기술한다.,속성은 데이터베이스를 구성하는 가장 작은 논리적 단위이다.,속성은 파일 구조상 데이터 항목 또는 데이터 필드에 해당된다.
Q0009,데이터베이스 설계시 논리적 설계 단계에 대한 설명으로 옳지 않은 것은?,사용자의 요구에 대한 트랜잭션을 모델링한다.,트랜잭션 인터페이스를 설계한다.,관계형 데이터베이스에서는 테이블을 설계하는 단계이다.,DBMS에 맞는 논리적 스키마를 설계한다.
Q0010,병행제어의 목적으로 옳지 않은 것은?,데이터베이스 공유도 최소화,데이터베이스 일관성 유지,시스템 활용도 최대화,사용자에 대한 응답시간 최소화
Q0011,Which is not in the three-schema architecture?,procedural schema,internal schema,conceptual schema,extemal schema
Q0012,시스템 카탈로그에 대한 설명으로 틀린 것은?,일반 사용자도 SQL을 이용하여 시스템 카탈로그를 직접 갱신할 수 있다.,시스템 카탈로그는 DBMS가 스스로 생성하고 유지하는 데이터베이스 내의 특별한 테이블들의 집합체이다.,"DBMS는 자동적으로 시스템 카탈로그 테이블들의 행을 삽입, 삭제, 수정한다.",시스템 카탈로그는 데이터베이스 구조에 관한 메타 데이터를 포함한다.
Q0013,SSD(Solid State Drive)에서 하나의 셀에 3비트의 정보를 저장하는 방식은?,TLC,ALC,MLC,SLC
Q0014,"CISC 구조와 RISC 구조를 비교하였을 때, RISC 구조의 특징으로 가장 옳지 않은 것은?",명령어가 복잡하다.,프로그램 길이가 길다.,래지스터 갯수가 많다.,파이프라인 구현이 용이하다.
Q0015,"CPU 클록이 100MHz일 때 인출 사이클(fetch cycle)에 소요되는 시간은? (단, 인출사이클은 3개의 마이크로명령어들로 구성된다.)",30ns,3ns,33ns,300ns
Q0016,Flynn의 컴퓨터 구조 분류에서 여러 개의 처리기에서 수행되는 인스트럭은 서로 다르나 전체적으로 하나의 데이터 스트림을 가지는 형태는?,MISD,MIMD,SIMD,SISD
Q0017,캐시메모리에서 특정 내용을 찾는 방식 중 매핑 방식에 주로 사용되는 메모리는?,Associative memory,Flash memory,Virtual memory,Stack memory
Q0018,0-번지 명령형(zero-address instruction format)을 갖는 컴퓨터 구조 원리는?,Stack architecture,An accumulator extension register,Virtual memory architecture,Micro-programming
Q0019,다음 중 롬(Rom)내에 기억시켜 둘 필요가 없는 정보는?,source program,bootatrap loader,microprogram,display character code
Q0020,우선순위가 가장 높은 인터럽트는?,정전,외부 신호,프로그램,기계 이상
